condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.55175,7.67098219940537e-13,-3.543869801507139e-11,0.0007670982199405369,-0.03543869801507139,-3.4671599795130854e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.552,7.73295155688156e-13,-3.515190577102984e-11,0.0007732951556881561,-0.03515190577102984,-3.437861061534168e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55225,7.795421651956046e-13,-3.4867434586718533e-11,0.0007795421651956045,-0.03486743458671853,-3.408789242152293e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5525,7.858396531777642e-13,-3.45852656761551e-11,0.0007858396531777641,-0.0345852656761551,-3.379942602297734e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5527500000000001,7.9218802762136e-13,-3.430538040541514e-11,0.00079218802762136,-0.03430538040541514,-3.3513192377793784e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.553,7.985876998114072e-13,-3.402776029140197e-11,0.0007985876998114072,-0.03402776029140197,-3.3229172591590564e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55325,8.050390843579062e-13,-3.3752387000624736e-11,0.0008050390843579062,-0.03375238700062474,-3.294734791626683e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5535,8.11542599222705e-13,-3.347924234798814e-11,0.0008115425992227049,-0.033479242347988145,-3.266769974876544e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55375,8.180986657466128e-13,-3.320830829559094e-11,0.0008180986657466127,-0.03320830829559094,-3.2390209629844323e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.554,8.247077086767341e-13,-3.293956695153433e-11,0.0008247077086767341,-0.032939566951534334,-3.21148592428576e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55425,8.313701561939871e-13,-3.267300056874067e-11,0.0008313701561939871,-0.03267300056874067,-3.184163041254668e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5545,8.380864399408955e-13,-3.240859154378037e-11,0.0008380864399408955,-0.03240859154378037,-3.1570505103839473e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5547500000000001,8.448569950495711e-13,-3.2146322415709565e-11,0.0008448569950495711,-0.03214632241570956,-3.1301465420659996e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.555,8.516822601699209e-13,-3.188617586491698e-11,0.000851682260169921,-0.03188617586491698,-3.103449360474706e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55525,8.585626774981193e-13,-3.1628134711979214e-11,0.0008585626774981193,-0.031628134711979214,-3.0769572034481094e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5555,8.654986928052587e-13,-3.137218191652648e-11,0.0008654986928052587,-0.03137218191652648,-3.0506683223721224e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55575,8.724907554662705e-13,-3.111830057611688e-11,0.0008724907554662704,-0.031118300576116878,-3.0245809820650606e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.556,8.795393184890666e-13,-3.086647392511976e-11,0.0008795393184890666,-0.030866473925119757,-2.998693460663069e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55625,8.866448385439087e-13,-3.0616685333608674e-11,0.0008866448385439087,-0.030616685333608673,-2.973004049506477e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5565,8.938077759930403e-13,-3.0368918306262345e-11,0.0008938077759930403,-0.030368918306262347,-2.947511053026931e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5567500000000001,9.010285949205276e-13,-3.01231564812754e-11,0.0009010285949205276,-0.030123156481275403,-2.9222127886354875e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.557,9.083077631623542e-13,-2.9879383629277855e-11,0.0009083077631623542,-0.029879383629277854,-2.89710758661155e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55725,9.156457523367723e-13,-2.963758365226246e-11,0.0009156457523367723,-0.02963758365226246,-2.872193789992569e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.5575,9.230430378748877e-13,-2.939774058252181e-11,0.0009230430378748877,-0.029397740582521807,-2.847469754464692e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55775,9.30500099051479e-13,-2.9159838581593515e-11,0.000930500099051479,-0.029159838581593517,-2.8229338482542035e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.558,9.38017419016095e-13,-2.8923861939213882e-11,0.0009380174190160951,-0.028923861939213882,-2.7985844520197786e-11
4,janus_on_c_support,C-supported Janus,with EDL,0.55825,9.455954848243681e-13,-2.868979507228063e-11,0.0009455954848243682,-0.02868979507228063,-2.7744199587456262e-11
